Country,CountryCode,Region,IncomeGroup,LifeExp,MajorReligion,MajorReligionPop,Year,Beer_LitersAlcPerYear,Beer_LitersPerYear,Wine_LitersAlcPerYear,Wine_LitersPerYear,Spirits_LitersAlcPerYear,Spirits_LitersPerYear,Total_LitersAlcPerYear
Austria,AUT,Europe,High_income,70.6,Roman Catholic,5915421,1960,4.7,94.0,2.81,23.416666666666668,1.4,3.4999999999999996,8.91
United States of America,USA,Americas,High_income,69.3,,,1960,3.75,75.0,0.83,6.916666666666667,3.26,8.149999999999999,7.84
Afghanistan,AFG,Eastern Mediterranean,Low_income,50.0,,,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,AGO,Africa,Lower_middle_income,44.5,,,1961,0.72,14.399999999999999,3.36,28.0,1.3,3.25,5.38
Argentina,ARG,Americas,Upper_middle_income,66.7,,,1961,0.75,15.0,13.61,113.41666666666667,2.03,5.074999999999999,16.39
Australia,AUS,Western Pacific,High_income,72.6,No Religion,6933708,1961,6.36,127.2,0.88,7.333333333333334,1.19,2.9749999999999996,8.43
Austria,AUT,Europe,High_income,70.6,Roman Catholic,5915421,1961,4.9,98.0,3.01,25.083333333333332,1.4,3.4999999999999996,9.31
Burundi,BDI,Africa,Low_income,48.0,Roman Catholic,4941833,1961,1.4,27.999999999999996,0.01,0.08333333333333334,0.0,0.0,1.41
Benin,BEN,Africa,Low_income,50.4,,,1961,0.57,11.399999999999999,0.2,1.6666666666666667,0.13,0.325,0.9
Burkina Faso,BFA,Africa,Low_income,50.6,Muslim,8485149,1961,0.28,5.6000000000000005,0.1,0.8333333333333334,0.01,0.024999999999999998,0.39
Bangladesh,BGD,South_East Asia,Low_income,60.8,Muslim,111393250,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,BHS,Americas,High_income,64.4,Baptist,122500,1961,2.63,52.599999999999994,1.16,9.666666666666666,8.04,20.099999999999998,11.829999999999998
Belize,BLZ,Americas,Lower_middle_income,63.6,Roman Catholic,129456,1961,0.54,10.8,0.06,0.5,4.44,11.1,5.040000000000001
Bolivia (Plurinational State of),BOL,Americas,Lower_middle_income,59.2,,,1961,0.46,9.2,0.06,0.5,0.87,2.175,1.3900000000000001
Brunei Darussalam,BRN,Western Pacific,High_income,68.7,Muslim,309962,1961,0.46,9.2,0.02,0.16666666666666669,0.0,0.0,0.48000000000000004
Bhutan,BTN,South_East Asia,Lower_middle_income,59.4,,,1961,0.42,8.399999999999999,0.0,0.0,0.0,0.0,0.42
Botswana,BWA,Africa,Upper_middle_income,54.2,Roman Catholic,1171537,1961,3.05,60.99999999999999,0.14,1.1666666666666667,0.41,1.025,3.6
Central African Republic,CAF,Africa,Low_income,43.7,,,1961,0.91,18.2,0.16,1.3333333333333335,0.07,0.17500000000000002,1.1400000000000001
Canada,CAN,Americas,High_income,72.0,Roman Catholic,12728880,1961,4.1,81.99999999999999,0.4,3.3333333333333335,2.31,5.7749999999999995,6.8100000000000005
China,CHN,Western Pacific,Lower_middle_income,68.0,,,1961,0.01,0.19999999999999998,0.0,0.0,0.48,1.2,0.49
Côte d'Ivoire,CIV,Africa,Lower_middle_income,45.6,Muslim,9618121,1961,0.93,18.6,1.8,15.000000000000002,0.07,0.17500000000000002,2.8
Cameroon,CMR,Africa,Lower_middle_income,48.5,,,1961,0.33,6.6,0.42,3.5,0.09,0.22499999999999998,0.84
Democratic Republic of the Congo,COD,Africa,Low_income,44.4,,,1961,0.3,5.999999999999999,0.01,0.08333333333333334,0.0,0.0,0.31
Congo,COG,Africa,Lower_middle_income,50.3,,,1961,0.64,12.799999999999999,0.01,0.08333333333333334,0.43,1.075,1.08
Colombia,COL,Americas,Upper_middle_income,67.2,,,1961,3.65,73.0,0.01,0.08333333333333334,0.79,1.975,4.449999999999999
Comoros,COM,Africa,Low_income,53.8,,,1961,0.04,0.7999999999999999,0.08,0.6666666666666667,0.0,0.0,0.12
Cabo Verde,CPV,Africa,Lower_middle_income,63.8,,,1961,0.16,3.1999999999999997,1.02,8.5,0.49,1.2249999999999999,1.67
Costa Rica,CRI,Americas,Upper_middle_income,69.3,,,1961,0.64,12.799999999999999,0.06,0.5,2.46,6.1499999999999995,3.16
Cuba,CUB,Americas,Upper_middle_income,66.4,,,1961,1.34,26.8,0.02,0.16666666666666669,1.07,2.675,2.43
Cyprus,CYP,Europe,High_income,74.4,Orthodox,653635,1961,0.63,12.6,2.31,19.25,2.21,5.5249999999999995,5.15
Czech Republic,CZE,Europe,High_income,68.7,Unknown,4662455,1961,5.65,113.0,2.0,16.666666666666668,1.35,3.375,9.0
Germany,DEU,Europe,High_income,71.1,Other,32783750,1961,6.47,129.39999999999998,1.86,15.500000000000002,2.7,6.75,11.030000000000001
Djibouti,DJI,Eastern Mediterranean,Lower_middle_income,52.9,,,1961,1.59,31.8,2.39,19.916666666666668,0.0,0.0,3.9800000000000004
Denmark,DNK,Europe,High_income,70.0,,,1961,5.03,100.6,0.53,4.416666666666667,0.99,2.4749999999999996,6.550000000000001
Dominican Republic,DOM,Americas,Upper_middle_income,63.0,,,1961,0.22,4.3999999999999995,0.0,0.0,0.95,2.3749999999999996,1.17
Algeria,DZA,Africa,Upper_middle_income,62.4,,,1961,0.67,13.4,1.6,13.333333333333334,0.29,0.7249999999999999,2.56
Ecuador,ECU,Americas,Lower_middle_income,65.9,,,1961,0.68,13.6,0.02,0.16666666666666669,0.55,1.375,1.25
Egypt,EGY,Eastern Mediterranean,Lower_middle_income,61.8,,,1961,0.04,0.7999999999999999,0.02,0.16666666666666669,0.51,1.275,0.5700000000000001
Eritrea,ERI,Africa,Low_income,54.5,,,1961,0.86,17.2,0.0,0.0,0.0,0.0,0.86
Ethiopia,ETH,Africa,Low_income,55.6,Orthodox,32092182,1961,0.86,17.2,0.0,0.0,0.0,0.0,0.86
Finland,FIN,Europe,High_income,70.8,Lutheran,4207192,1961,0.57,11.399999999999999,0.32,2.666666666666667,0.94,2.3499999999999996,1.8299999999999998
Fiji,FJI,Western Pacific,Upper_middle_income,60.4,Methodist,289923,1961,0.69,13.799999999999999,0.02,0.16666666666666669,0.53,1.325,1.24
France,FRA,Europe,High_income,71.8,,,1961,2.53,50.599999999999994,20.56,171.33333333333334,2.95,7.375,26.04
Micronesia (Federated States of),FSM,Western Pacific,Lower_middle_income,59.8,Roman Catholic,56365,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,GAB,Africa,Upper_middle_income,53.9,,,1961,1.75,35.0,3.51,29.25,0.26,0.65,5.52
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,High_income,70.5,Roman Catholic,37583962,1961,5.81,116.19999999999999,0.28,2.3333333333333335,1.04,2.6,7.13
Ghana,GHA,Africa,Low_income,54.1,Pentecostal,6980792,1961,0.3,5.999999999999999,0.02,0.16666666666666669,0.01,0.024999999999999998,0.33
Guinea,GIN,Africa,Low_income,49.8,Muslim,9358718,1961,0.16,3.1999999999999997,0.07,0.5833333333333334,0.0,0.0,0.23
Gambia,GMB,Africa,Low_income,52.9,,,1961,0.12,2.4,0.17,1.4166666666666667,0.04,0.09999999999999999,0.33
Guinea_Bissau,GNB,Africa,Low_income,46.4,Muslim,650402,1961,0.0,0.0,0.86,7.166666666666667,0.72,1.7999999999999998,1.58
Guatemala,GTM,Americas,Lower_middle_income,62.5,,,1961,0.33,6.6,0.0,0.0,2.03,5.074999999999999,2.36
Guyana,GUY,Americas,Lower_middle_income,54.4,,,1961,0.72,14.399999999999999,0.0,0.0,2.47,6.175,3.1900000000000004
Honduras,HND,Americas,Lower_middle_income,63.7,,,1961,0.6,11.999999999999998,0.01,0.08333333333333334,0.68,1.7,1.29
Haiti,HTI,Americas,Low_income,51.8,,,1961,0.01,0.19999999999999998,0.01,0.08333333333333334,7.6,18.999999999999996,7.619999999999999
Hungary,HUN,Europe,High_income,64.9,Roman Catholic,3691389,1961,2.59,51.8,4.3,35.833333333333336,2.13,5.324999999999999,9.02
Indonesia,IDN,South_East Asia,Lower_middle_income,62.3,Muslim,207176162,1961,0.0,0.0,0.0,0.0,0.02,0.049999999999999996,0.02
India,IND,South_East Asia,Lower_middle_income,57.5,Hindu,827578868,1961,0.0,0.0,0.0,0.0,0.71,1.775,0.71
Iran (Islamic Republic of),IRN,Eastern Mediterranean,Lower_middle_income,64.4,Muslim,79598054,1961,0.03,0.6,0.0,0.0,0.11,0.27499999999999997,0.14
Iraq,IRQ,Eastern Mediterranean,Lower_middle_income,61.4,,,1961,0.05,1.0,0.0,0.0,0.46,1.15,0.51
Iceland,ISL,Europe,High_income,72.2,,,1961,0.62,12.399999999999999,0.17,1.4166666666666667,2.25,5.625,3.04
Israel,ISR,Europe,High_income,72.2,Jewish,4476225,1961,1.01,20.2,1.71,14.25,1.43,3.5749999999999997,4.1499999999999995
Italy,ITA,Europe,High_income,72.9,,,1961,0.4,8.0,17.24,143.66666666666666,1.59,3.975,19.229999999999997
Jamaica,JAM,Americas,Upper_middle_income,63.4,No Religion,571988,1961,0.9,18.0,0.04,0.33333333333333337,1.07,2.675,2.0100000000000002
Jordan,JOR,Eastern Mediterranean,Lower_middle_income,64.3,,,1961,0.06,1.2,0.0,0.0,0.07,0.17500000000000002,0.13
Japan,JPN,Western Pacific,High_income,75.0,,,1961,0.99,19.799999999999997,0.02,0.16666666666666669,2.08,5.2,3.09
